Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
  使用GPU: 3
================================================================================
MCTS训练配置
  训练迭代: 1000
  Episode长度: 100
  MCTS模拟次数: 50
================================================================================

开始训练 MCTS...
训练数据将保存到: parallel_training_20251209_214105/checkpoints/training_data/mcts_training_data.csv
[   0/1000] MCTS | Reward: -1440.00 | Best: -1440.00 | Length:  99 | Time: 0.1min
[  10/1000] MCTS | Reward: -1275.00 | Best: -1275.00 | Length:  99 | Time: 3.6min
[  20/1000] MCTS | Reward: -1340.00 | Best:  -815.00 | Length:  99 | Time: 4.2min
[  30/1000] MCTS | Reward: -1925.00 | Best:  -815.00 | Length:  99 | Time: 4.8min
[  40/1000] MCTS | Reward: -1420.00 | Best:  -815.00 | Length:  99 | Time: 5.5min
[  50/1000] MCTS | Reward: -2115.00 | Best:  -815.00 | Length:  99 | Time: 6.1min
[  60/1000] MCTS | Reward: -2390.00 | Best:  -735.00 | Length:  99 | Time: 6.7min
[  70/1000] MCTS | Reward: -1775.00 | Best:  -735.00 | Length:  99 | Time: 7.3min
[  80/1000] MCTS | Reward: -1575.00 | Best:  -710.00 | Length:  99 | Time: 8.0min
[  90/1000] MCTS | Reward: -2045.00 | Best:  -655.00 | Length:  99 | Time: 8.6min
[ 100/1000] MCTS | Reward: -2940.00 | Best:  -655.00 | Length:  99 | Time: 9.2min
[ 110/1000] MCTS | Reward: -3970.00 | Best:  -655.00 | Length:  99 | Time: 9.8min
[ 120/1000] MCTS | Reward: -3115.00 | Best:  -655.00 | Length:  99 | Time: 10.4min
[ 130/1000] MCTS | Reward: -1225.00 | Best:  -655.00 | Length:  99 | Time: 11.0min
