iteration,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_loss,vf_loss,entropy,kl,elapsed_time,best_reward
0,-2334.5,-840.0,-4095.0,99.0,0,0,0,0,220.76551461219788,-2334.5
1,-2362.875,-840.0,-4095.0,99.0,0,0,0,0,271.0326964855194,-2334.5
2,-2282.1666666666665,-745.0,-4095.0,99.0,0,0,0,0,319.1368429660797,-2282.1666666666665
3,-2085.5,-625.0,-4095.0,99.0,0,0,0,0,365.2286100387573,-2085.5
4,-1999.15,-625.0,-4095.0,99.0,0,0,0,0,413.02466678619385,-1999.15
5,-1875.7,-625.0,-4080.0,99.0,0,0,0,0,460.8548300266266,-1875.7
6,-1701.3,-595.0,-4080.0,99.0,0,0,0,0,507.48161816596985,-1701.3
7,-1553.0,-495.0,-3720.0,99.0,0,0,0,0,553.4273345470428,-1553.0
8,-1557.85,-495.0,-3720.0,99.0,0,0,0,0,601.5220062732697,-1553.0
9,-1518.15,-495.0,-3670.0,99.0,0,0,0,0,646.7830989360809,-1518.15
10,-1408.7,-495.0,-3270.0,99.0,0,0,0,0,693.0236279964447,-1408.7
11,-1378.85,-275.0,-2910.0,99.0,0,0,0,0,743.1131131649017,-1378.85
12,-1341.2,-275.0,-2910.0,99.0,0,0,0,0,790.8019225597382,-1341.2
13,-1243.95,-275.0,-2910.0,99.0,0,0,0,0,837.999306678772,-1243.95
14,-1190.4,-275.0,-2855.0,99.0,0,0,0,0,885.1653997898102,-1190.4
15,-1141.6,-275.0,-2855.0,99.0,0,0,0,0,935.3352456092834,-1141.6
16,-1070.25,-305.0,-2245.0,99.0,0,0,0,0,987.6946959495544,-1070.25
17,-1057.85,-305.0,-2245.0,99.0,0,0,0,0,1035.5365674495697,-1057.85
18,-1015.95,-360.0,-2245.0,99.0,0,0,0,0,1082.5168447494507,-1015.95
19,-977.9,-360.0,-1985.0,99.0,0,0,0,0,1131.0200772285461,-977.9
20,-923.95,-315.0,-1985.0,99.0,0,0,0,0,1179.003170967102,-923.95
21,-908.35,-265.0,-2040.0,99.0,0,0,0,0,1228.328691482544,-908.35
22,-837.05,-265.0,-2110.0,99.0,0,0,0,0,1276.33646774292,-837.05
23,-855.6,-255.0,-2110.0,99.0,0,0,0,0,1323.4562637805939,-837.05
24,-821.15,-230.0,-2110.0,99.0,0,0,0,0,1373.365728855133,-821.15
25,-830.9,-205.0,-2110.0,99.0,0,0,0,0,1423.1406555175781,-821.15
26,-807.6,-205.0,-2110.0,99.0,0,0,0,0,1472.2925939559937,-807.6
27,-771.95,-205.0,-2050.0,99.0,0,0,0,0,1521.4921171665192,-771.95
28,-719.8,-205.0,-2050.0,99.0,0,0,0,0,1568.6461327075958,-719.8
29,-698.75,-200.0,-1735.0,99.0,0,0,0,0,1617.7961151599884,-698.75
30,-668.4,-200.0,-1690.0,99.0,0,0,0,0,1667.5755269527435,-668.4
31,-679.15,-160.0,-1760.0,99.0,0,0,0,0,1716.7445735931396,-668.4
32,-686.5,-160.0,-1760.0,99.0,0,0,0,0,1762.6634933948517,-668.4
33,-741.25,-160.0,-1760.0,99.0,0,0,0,0,1808.2387039661407,-668.4
34,-773.5,-160.0,-1760.0,99.0,0,0,0,0,1856.6327385902405,-668.4
35,-777.2,-160.0,-1760.0,99.0,0,0,0,0,1907.9668946266174,-668.4
36,-749.45,-195.0,-1735.0,99.0,0,0,0,0,1953.099552154541,-668.4
37,-768.85,-195.0,-1735.0,99.0,0,0,0,0,1998.9401211738586,-668.4
38,-671.4,-160.0,-1655.0,99.0,0,0,0,0,2045.0683867931366,-668.4
39,-647.15,-160.0,-1655.0,99.0,0,0,0,0,2096.2850546836853,-647.15
40,-633.8,-160.0,-1655.0,99.0,0,0,0,0,2146.4115931987762,-633.8
41,-604.55,-160.0,-1655.0,99.0,0,0,0,0,2196.8318758010864,-604.55
42,-591.1,-160.0,-1655.0,99.0,0,0,0,0,2246.684989452362,-591.1
43,-620.1,-160.0,-1655.0,99.0,0,0,0,0,2295.98942899704,-591.1
44,-613.25,-160.0,-1495.0,99.0,0,0,0,0,2343.9644844532013,-591.1
45,-637.6,-160.0,-2040.0,99.0,0,0,0,0,2393.971161365509,-591.1
46,-646.45,-175.0,-2040.0,99.0,0,0,0,0,2440.6721160411835,-591.1
47,-647.95,-175.0,-2310.0,99.0,0,0,0,0,2489.929020881653,-591.1
48,-642.55,-160.0,-2310.0,99.0,0,0,0,0,2538.7239274978638,-591.1
49,-615.55,-150.0,-2310.0,99.0,0,0,0,0,2587.7192759513855,-591.1
50,-574.3,-150.0,-2310.0,99.0,0,0,0,0,2638.433273792267,-574.3
