iteration,episode_reward,episode_length,elapsed_time,best_reward
0,-1440,99,3.970353364944458,-1440
1,-1605,99,7.530925512313843,-1440
2,-2070,99,10.933443784713745,-1440
3,-2400,99,14.836703538894653,-1440
4,-1500,99,189.7310700416565,-1440
5,-2065,99,193.42506051063538,-1440
6,-2215,99,196.86798620224,-1440
7,-2585,99,201.0418426990509,-1440
8,-1595,99,205.18602633476257,-1440
9,-2330,99,209.41250824928284,-1440
10,-1275,99,213.3529999256134,-1275
11,-1815,99,217.28564023971558,-1275
12,-1795,99,220.97711372375488,-1275
13,-2295,99,224.86607217788696,-1275
14,-3605,99,229.63403940200806,-1275
15,-1975,99,233.45378398895264,-1275
16,-2695,99,237.28191494941711,-1275
17,-3250,99,241.01846313476562,-1275
18,-815,99,244.94675254821777,-815
19,-895,99,248.51991844177246,-815
20,-1340,99,252.16691517829895,-815
21,-1690,99,256.0444347858429,-815
22,-1870,99,259.36044931411743,-815
23,-1270,99,262.85365653038025,-815
24,-2090,99,267.17283391952515,-815
25,-2205,99,271.4176113605499,-815
26,-1805,99,274.9494721889496,-815
27,-1065,99,278.45280718803406,-815
28,-3310,99,282.09648060798645,-815
29,-2335,99,286.62258529663086,-815
30,-1925,99,290.267578125,-815
31,-2125,99,294.10649967193604,-815
32,-1500,99,297.8366415500641,-815
33,-2720,99,302.00330805778503,-815
34,-1540,99,306.1022880077362,-815
35,-3235,99,309.21564769744873,-815
36,-1140,99,313.70106983184814,-815
37,-2530,99,317.7128999233246,-815
38,-1330,99,321.0846872329712,-815
39,-1895,99,325.3611149787903,-815
40,-1420,99,329.73176074028015,-815
41,-1325,99,332.29176354408264,-815
42,-1680,99,336.2594544887543,-815
43,-1850,99,339.8943145275116,-815
44,-2195,99,342.8348865509033,-815
45,-2405,99,346.34253883361816,-815
46,-2610,99,349.83270502090454,-815
47,-1560,99,353.26067876815796,-815
48,-2555,99,356.93543314933777,-815
49,-1065,99,360.5242693424225,-815
50,-2115,99,363.84143567085266,-815
51,-1965,99,367.6563231945038,-815
52,-2185,99,370.9165208339691,-815
53,-1455,99,374.4582965373993,-815
54,-735,99,378.26978039741516,-735
55,-855,99,383.0180401802063,-735
56,-3995,99,387.05265045166016,-735
57,-2795,99,391.1812982559204,-735
58,-3265,99,394.82741260528564,-735
59,-1750,99,399.37497091293335,-735
60,-2390,99,403.17841362953186,-735
61,-2665,99,406.4491789340973,-735
62,-1445,99,409.3193862438202,-735
63,-2005,99,413.5544545650482,-735
64,-1515,99,417.6650972366333,-735
65,-2195,99,421.70561957359314,-735
66,-1080,99,425.1894016265869,-735
67,-4850,99,430.0967607498169,-735
68,-1490,99,433.7644875049591,-735
69,-1640,99,437.65039324760437,-735
70,-1775,99,440.7761254310608,-735
71,-2445,99,444.338383436203,-735
72,-1030,99,447.7521345615387,-735
73,-3710,99,452.4642560482025,-735
74,-710,99,455.72211933135986,-710
75,-2045,99,459.56948471069336,-710
76,-2095,99,463.32159185409546,-710
77,-2585,99,466.9537992477417,-710
78,-2395,99,470.6991105079651,-710
79,-2260,99,474.0635826587677,-710
80,-1575,99,477.91165018081665,-710
81,-2475,99,481.0324296951294,-710
82,-805,99,484.3723473548889,-710
83,-1815,99,488.3690493106842,-710
84,-3575,99,491.6695189476013,-710
85,-1465,99,495.5631477832794,-710
86,-2780,99,499.8323702812195,-710
87,-2615,99,503.69092559814453,-710
88,-655,99,507.2882671356201,-655
89,-1435,99,510.82530331611633,-655
90,-2045,99,514.3467042446136,-655
91,-2015,99,518.3371658325195,-655
92,-3535,99,522.2004017829895,-655
93,-1615,99,525.4711213111877,-655
94,-1530,99,529.5988578796387,-655
95,-1635,99,533.4593861103058,-655
96,-2010,99,536.6384687423706,-655
97,-2420,99,540.3640508651733,-655
98,-1675,99,543.4865219593048,-655
99,-3010,99,547.2769811153412,-655
100,-2940,99,551.3329873085022,-655
101,-2005,99,555.4489839076996,-655
102,-2770,99,559.378125667572,-655
103,-1990,99,562.7537915706635,-655
104,-1665,99,565.9755485057831,-655
105,-1475,99,569.4096081256866,-655
106,-3490,99,572.7625577449799,-655
107,-1700,99,576.7717859745026,-655
108,-1485,99,580.8158659934998,-655
109,-1425,99,584.1583681106567,-655
110,-3970,99,587.8010277748108,-655
111,-1505,99,591.5677630901337,-655
112,-2115,99,595.365585565567,-655
113,-3375,99,599.250542640686,-655
114,-2970,99,602.7107241153717,-655
115,-910,99,606.1530227661133,-655
116,-1750,99,609.6578607559204,-655
117,-2295,99,613.00195145607,-655
118,-1615,99,616.1304261684418,-655
119,-2140,99,620.0680508613586,-655
120,-3115,99,623.6378700733185,-655
121,-1640,99,627.1960418224335,-655
122,-1205,99,631.1235389709473,-655
123,-1730,99,634.742570400238,-655
124,-1700,99,638.0488324165344,-655
125,-2485,99,641.743814945221,-655
126,-1785,99,645.035281419754,-655
127,-1770,99,648.9496960639954,-655
128,-1715,99,652.812572479248,-655
129,-2615,99,656.3943734169006,-655
130,-1225,99,660.6280188560486,-655
131,-1765,99,664.568332195282,-655
132,-1315,99,668.3359336853027,-655
133,-2665,99,672.4945683479309,-655
134,-2450,99,675.8170223236084,-655
135,-1675,99,679.2958102226257,-655
136,-3140,99,683.1172034740448,-655
137,-1215,99,686.7228569984436,-655
138,-1355,99,690.7830662727356,-655
139,-1410,99,693.6917994022369,-655
140,-3145,99,698.0034654140472,-655
141,-635,99,701.6726489067078,-635
142,-2495,99,705.524899482727,-635
143,-2430,99,709.2223043441772,-635
144,-2790,99,713.5225548744202,-635
145,-2895,99,717.3113145828247,-635
146,-2015,99,720.8707613945007,-635
147,-2285,99,724.7937355041504,-635
148,-3210,99,728.3508770465851,-635
149,-1105,99,732.2070178985596,-635
150,-2820,99,735.553612947464,-635
151,-4100,99,739.9390075206757,-635
152,-3235,99,744.0276753902435,-635
153,-1850,99,748.1061959266663,-635
154,-2565,99,751.627938747406,-635
155,-1630,99,755.9656383991241,-635
156,-2565,99,759.4700314998627,-635
157,-1970,99,762.5409593582153,-635
158,-3180,99,765.9817352294922,-635
159,-1505,99,769.1142647266388,-635
160,-1675,99,772.507744550705,-635
161,-2760,99,776.9738790988922,-635
162,-2990,99,780.7398943901062,-635
163,-2260,99,784.0756430625916,-635
164,-1140,99,787.3542704582214,-635
165,-1960,99,791.7495789527893,-635
166,-1925,99,795.3933818340302,-635
167,-1685,99,799.2285346984863,-635
168,-1430,99,802.3590261936188,-635
169,-3600,99,806.9701104164124,-635
170,-2190,99,810.4489846229553,-635
171,-730,99,813.8968422412872,-635
172,-2725,99,817.4729268550873,-635
