iteration,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_loss,vf_loss,entropy,kl,elapsed_time,best_reward
62,-580.55,-120.0,-1840.0,99.0,0,0,0,0,3035.1708548069,-580.55
63,-584.05,-120.0,-1840.0,99.0,0,0,0,0,3084.6348793506622,-580.55
64,-573.6,-155.0,-1600.0,99.0,0,0,0,0,3131.9787526130676,-573.6
65,-570.95,-155.0,-1600.0,99.0,0,0,0,0,3179.3986496925354,-570.95
66,-543.5,-140.0,-1440.0,99.0,0,0,0,0,3223.423507452011,-543.5
67,-541.25,-140.0,-1440.0,99.0,0,0,0,0,3269.7085478305817,-541.25
68,-511.9,-140.0,-1445.0,99.0,0,0,0,0,3318.32462310791,-511.9
69,-519.6,-70.0,-1445.0,99.0,0,0,0,0,3366.3429670333862,-511.9
70,-524.45,-70.0,-1445.0,99.0,0,0,0,0,3415.189680814743,-511.9
71,-548.6,-70.0,-1445.0,99.0,0,0,0,0,3461.196502685547,-511.9
72,-530.65,-70.0,-1385.0,99.0,0,0,0,0,3507.6106264591217,-511.9
73,-577.4,-70.0,-1500.0,99.0,0,0,0,0,3555.734433412552,-511.9
74,-564.6,-115.0,-1500.0,99.0,0,0,0,0,3603.7561526298523,-511.9
75,-598.0,-190.0,-2180.0,99.0,0,0,0,0,3654.2204253673553,-511.9
76,-585.45,-190.0,-2180.0,99.0,0,0,0,0,3702.281501531601,-511.9
77,-585.85,-115.0,-2180.0,99.0,0,0,0,0,3748.654206752777,-511.9
78,-563.55,-115.0,-2180.0,99.0,0,0,0,0,3795.8301622867584,-511.9
79,-613.0,-80.0,-2180.0,99.0,0,0,0,0,3844.0883617401123,-511.9
80,-612.85,-80.0,-1985.0,99.0,0,0,0,0,3892.577218770981,-511.9
81,-616.6,-80.0,-1985.0,99.0,0,0,0,0,3940.3649084568024,-511.9
82,-622.85,-80.0,-1985.0,99.0,0,0,0,0,3989.0006761550903,-511.9
83,-619.95,-80.0,-1985.0,99.0,0,0,0,0,4036.9801037311554,-511.9
84,-572.5,-175.0,-1595.0,99.0,0,0,0,0,4082.3169605731964,-511.9
85,-532.75,-95.0,-1470.0,99.0,0,0,0,0,4129.115648984909,-511.9
86,-515.55,-95.0,-1470.0,99.0,0,0,0,0,4178.957986354828,-511.9
87,-530.35,-95.0,-1560.0,99.0,0,0,0,0,4228.02644944191,-511.9
88,-514.9,-95.0,-1560.0,99.0,0,0,0,0,4273.917864561081,-511.9
89,-518.45,-95.0,-1560.0,99.0,0,0,0,0,4320.914494514465,-511.9
90,-538.8,-100.0,-1560.0,99.0,0,0,0,0,4369.006538629532,-511.9
91,-539.65,-85.0,-1560.0,99.0,0,0,0,0,4416.156540155411,-511.9
92,-540.6,-85.0,-1295.0,99.0,0,0,0,0,4464.254383563995,-511.9
93,-578.05,-85.0,-1295.0,99.0,0,0,0,0,4513.749624967575,-511.9
94,-561.1,-85.0,-1295.0,99.0,0,0,0,0,4562.971777439117,-511.9
95,-555.0,-85.0,-1335.0,99.0,0,0,0,0,4607.576466560364,-511.9
96,-577.8,-145.0,-1335.0,99.0,0,0,0,0,4654.911210298538,-511.9
97,-585.85,-145.0,-1375.0,99.0,0,0,0,0,4705.264672279358,-511.9
98,-558.7,-160.0,-1375.0,99.0,0,0,0,0,4755.135878324509,-511.9
99,-565.3,-140.0,-1375.0,99.0,0,0,0,0,4802.178621292114,-511.9
100,-578.25,-140.0,-1435.0,99.0,0,0,0,0,4853.71875166893,-511.9
101,-565.1,-130.0,-1435.0,99.0,0,0,0,0,4900.5136132240295,-511.9
102,-577.6,-130.0,-1435.0,99.0,0,0,0,0,4962.728418827057,-511.9
103,-573.15,-130.0,-1460.0,99.0,0,0,0,0,5014.230797767639,-511.9
104,-575.6,-130.0,-1460.0,99.0,0,0,0,0,5064.807815551758,-511.9
105,-566.95,-130.0,-1460.0,99.0,0,0,0,0,5114.135954856873,-511.9
106,-598.65,-160.0,-1460.0,99.0,0,0,0,0,5163.518261909485,-511.9
107,-591.4,-165.0,-1575.0,99.0,0,0,0,0,5213.03136920929,-511.9
108,-605.15,-150.0,-1575.0,99.0,0,0,0,0,5259.598707199097,-511.9
109,-632.2,-150.0,-1575.0,99.0,0,0,0,0,5308.349411249161,-511.9
110,-656.15,-100.0,-1875.0,99.0,0,0,0,0,5354.37068104744,-511.9
111,-647.3,-100.0,-1875.0,99.0,0,0,0,0,5406.269737005234,-511.9
112,-635.85,-100.0,-1875.0,99.0,0,0,0,0,5455.672781467438,-511.9
113,-619.45,-100.0,-1875.0,99.0,0,0,0,0,5504.033975839615,-511.9
114,-598.25,-100.0,-1875.0,99.0,0,0,0,0,5552.58797454834,-511.9
115,-558.0,-100.0,-1770.0,99.0,0,0,0,0,5599.73245549202,-511.9
116,-563.3,-100.0,-1750.0,99.0,0,0,0,0,5647.311421394348,-511.9
117,-550.85,-100.0,-1750.0,99.0,0,0,0,0,5695.073317289352,-511.9
118,-552.15,-100.0,-1750.0,99.0,0,0,0,0,5745.884342432022,-511.9
119,-548.55,-130.0,-1190.0,99.0,0,0,0,0,5794.200123786926,-511.9
120,-544.95,-130.0,-1190.0,99.0,0,0,0,0,5841.6019876003265,-511.9
121,-521.35,-100.0,-1195.0,99.0,0,0,0,0,5890.398240566254,-511.9
122,-509.5,-100.0,-1195.0,99.0,0,0,0,0,5939.196617364883,-509.5
123,-520.9,-100.0,-1195.0,99.0,0,0,0,0,5987.282739162445,-509.5
124,-506.55,-65.0,-1195.0,99.0,0,0,0,0,6038.475279808044,-506.55
125,-521.35,-65.0,-2350.0,99.0,0,0,0,0,6086.808697462082,-506.55
126,-519.15,-65.0,-2350.0,99.0,0,0,0,0,6134.362772703171,-506.55
127,-540.15,-65.0,-2350.0,99.0,0,0,0,0,6184.781883478165,-506.55
128,-513.65,-65.0,-2350.0,99.0,0,0,0,0,6231.109321117401,-506.55
129,-523.1,-85.0,-2350.0,99.0,0,0,0,0,6281.544137239456,-506.55
130,-522.6,-85.0,-1865.0,99.0,0,0,0,0,6328.8119151592255,-506.55
131,-547.3,-85.0,-1865.0,99.0,0,0,0,0,6376.278613090515,-506.55
132,-539.5,-85.0,-1665.0,99.0,0,0,0,0,6422.261330366135,-506.55
133,-551.9,-85.0,-1665.0,99.0,0,0,0,0,6469.412163734436,-506.55
134,-573.35,-110.0,-1665.0,99.0,0,0,0,0,6517.150421142578,-506.55
135,-591.4,-120.0,-1665.0,99.0,0,0,0,0,6566.946815490723,-506.55
136,-565.85,-120.0,-1480.0,99.0,0,0,0,0,6615.487849235535,-506.55
137,-587.8,-175.0,-1480.0,99.0,0,0,0,0,6664.14919424057,-506.55
138,-575.2,-175.0,-1480.0,99.0,0,0,0,0,6714.134419679642,-506.55
139,-577.5,-165.0,-1385.0,99.0,0,0,0,0,6762.810550928116,-506.55
140,-562.15,-165.0,-1385.0,99.0,0,0,0,0,6812.544948577881,-506.55
141,-553.7,-105.0,-1385.0,99.0,0,0,0,0,6861.298644065857,-506.55
142,-530.8,-105.0,-1245.0,99.0,0,0,0,0,6909.251827478409,-506.55
143,-543.25,-105.0,-1245.0,99.0,0,0,0,0,6957.576102256775,-506.55
144,-554.35,-105.0,-1275.0,99.0,0,0,0,0,7006.46485376358,-506.55
145,-567.6,-105.0,-1525.0,99.0,0,0,0,0,7054.304166555405,-506.55
146,-586.6,-95.0,-1645.0,99.0,0,0,0,0,7103.9312863349915,-506.55
147,-584.3,-95.0,-1645.0,99.0,0,0,0,0,7153.112854719162,-506.55
148,-592.9,-95.0,-1645.0,99.0,0,0,0,0,7202.561676740646,-506.55
149,-621.25,-95.0,-1645.0,99.0,0,0,0,0,7253.618440628052,-506.55
150,-614.7,-110.0,-1645.0,99.0,0,0,0,0,7302.286949634552,-506.55
