iteration,episode_reward,smoothed_reward,episode_length,elapsed_time,best_reward
191,-2505,-1953.635177044097,99,912.6289529800415,-685
192,-2550,-2013.2716593396874,99,917.5533866882324,-685
193,-2115,-2023.4444934057187,99,921.98903465271,-685
194,-1780,-1999.100044065147,99,926.8402276039124,-685
195,-1615,-1960.6900396586323,99,932.2774429321289,-685
196,-1265,-1891.121035692769,99,936.5112924575806,-685
197,-2390,-1941.0089321234923,99,940.9473567008972,-685
198,-1060,-1852.9080389111432,99,945.4544970989227,-685
199,-1445,-1812.1172350200288,99,949.8799798488617,-685
200,-2000,-1830.905511518026,99,954.3853323459625,-685
201,-3410,-1988.8149603662234,99,959.2974536418915,-685
202,-940,-1883.933464329601,99,964.1847493648529,-685
203,-1680,-1863.540117896641,99,969.4374923706055,-685
204,-2545,-1931.686106106977,99,974.943026304245,-685
205,-3415,-2080.0174954962795,99,980.0111966133118,-685
206,-1355,-2007.5157459466516,99,984.356822013855,-685
207,-1990,-2005.7641713519865,99,988.744220495224,-685
208,-545,-1859.6877542167879,99,993.6347606182098,-545
209,-540,-1727.718978795109,99,998.1926651000977,-540
210,-1430,-1697.9470809155982,99,1002.2124426364899,-540
211,-1685,-1696.6523728240384,99,1007.2869503498077,-540
212,-1925,-1719.4871355416346,99,1012.1497433185577,-540
213,-1855,-1733.038421987471,99,1017.2640910148621,-540
214,-2075,-1767.234579788724,99,1022.1679975986481,-540
215,-2280,-1818.5111218098516,99,1026.8081493377686,-540
216,-1760,-1812.6600096288664,99,1031.6594071388245,-540
217,-3150,-1946.3940086659798,99,1036.2901604175568,-540
218,-2475,-1999.2546077993818,99,1041.3681282997131,-540
219,-1290,-1928.3291470194436,99,1045.7541065216064,-540
220,-2255,-1960.9962323174993,99,1050.0835065841675,-540
221,-930,-1857.8966090857493,99,1054.8819904327393,-540
222,-1820,-1854.1069481771744,99,1059.6989953517914,-540
223,-1660,-1834.696253359457,99,1064.0192427635193,-540
224,-640,-1715.2266280235112,99,1068.778609752655,-540
225,-2565,-1800.2039652211602,99,1073.6258101463318,-540
226,-2935,-1913.6835686990441,99,1078.601181268692,-540
227,-2700,-1992.3152118291398,99,1083.497077703476,-540
228,-1890,-1982.083690646226,99,1088.1601371765137,-540
229,-1365,-1920.3753215816034,99,1093.2070896625519,-540
230,-3475,-2075.837789423443,99,1097.689649105072,-540
231,-2800,-2148.2540104810987,99,1102.8402745723724,-540
232,-1785,-2111.928609432989,99,1107.1922676563263,-540
233,-1770,-2077.73574848969,99,1111.9298107624054,-540
234,-1875,-2057.462173640721,99,1116.3906195163727,-540
235,-2150,-2066.715956276649,99,1122.1977198123932,-540
236,-1630,-2023.0443606489844,99,1126.66947722435,-540
237,-2685,-2089.239924584086,99,1131.5638926029205,-540
238,-2855,-2165.8159321256776,99,1136.010306596756,-540
239,-1210,-2070.23433891311,99,1141.22451877594,-540
240,-1105,-1973.7109050217991,99,1145.2230746746063,-540
241,-1425,-1918.8398145196193,99,1149.4160022735596,-540
242,-1950,-1921.9558330676573,99,1154.0487802028656,-540
243,-3025,-2032.2602497608916,99,1158.7160067558289,-540
244,-1350,-1964.0342247848025,99,1163.1845228672028,-540
