iteration,episode_reward,episode_length
0,-880.0,99
1,-520.0,99
2,-290.0,99
3,-770.0,99
4,-215.0,99
5,-330.0,99
6,-545.0,99
7,-270.0,99
8,-875.0,99
9,-335.0,99
10,-225.0,99
11,-160.0,99
12,-415.0,99
13,-770.0,99
14,-260.0,99
15,-320.0,99
16,-375.0,99
17,-205.0,99
18,-180.0,99
19,-180.0,99
20,-540.0,99
21,-430.0,99
22,-520.0,99
23,-635.0,99
24,-460.0,99
25,-515.0,99
26,-595.0,99
27,-555.0,99
28,-770.0,99
29,-1355.0,99
30,-235.0,99
31,-700.0,99
32,-400.0,99
33,-685.0,99
34,-135.0,99
35,-570.0,99
36,-560.0,99
37,-230.0,99
38,-845.0,99
39,-180.0,99
40,-1185.0,99
41,-175.0,99
42,-465.0,99
43,-820.0,99
44,-400.0,99
45,-705.0,99
46,-465.0,99
47,-735.0,99
48,-450.0,99
49,-360.0,99
50,-340.0,99
51,-350.0,99
52,-150.0,99
53,-920.0,99
54,-1430.0,99
55,-850.0,99
56,-45.0,99
57,-360.0,99
58,-90.0,99
59,-535.0,99
60,-550.0,99
61,-230.0,99
62,-1215.0,99
63,-780.0,99
64,-275.0,99
65,-400.0,99
66,-60.0,99
67,-90.0,99
68,-185.0,99
69,-95.0,99
70,-855.0,99
71,-430.0,99
72,-565.0,99
73,-470.0,99
74,-150.0,99
75,-220.0,99
76,-430.0,99
77,-195.0,99
78,-890.0,99
79,-275.0,99
80,-1480.0,99
81,-495.0,99
82,-315.0,99
83,-530.0,99
84,-440.0,99
85,-490.0,99
86,-630.0,99
87,-480.0,99
88,-265.0,99
89,-355.0,99
90,-335.0,99
91,-235.0,99
92,-385.0,99
93,-435.0,99
94,-570.0,99
95,-1565.0,99
96,-260.0,99
97,-260.0,99
98,-1295.0,99
99,-900.0,99
100,-135.0,99
101,-5.0,99
102,-285.0,99
103,-285.0,99
104,-345.0,99
105,-1210.0,99
106,-750.0,99
107,-495.0,99
108,-280.0,99
109,-435.0,99
