iteration,episode_reward,episode_length,elapsed_time,best_reward
0,-2245,99,3.8008534908294678,-2245
1,-1930,99,7.7258689403533936,-1930
2,-1975,99,11.854430675506592,-1930
3,-1470,99,15.306263446807861,-1470
4,-2055,99,18.809160470962524,-1470
5,-1295,99,23.331315994262695,-1295
6,-1160,99,26.68062138557434,-1160
7,-1840,99,29.993250608444214,-1160
8,-780,99,34.18333101272583,-780
9,-1640,99,37.41631531715393,-780
10,-600,99,40.90347099304199,-600
11,-1450,99,45.12501287460327,-600
12,-1545,99,48.751516819000244,-600
13,-1220,99,51.93013525009155,-600
14,-3465,99,56.19059085845947,-600
15,-1770,99,59.07316184043884,-600
16,-1395,99,62.07105898857117,-600
17,-2405,99,65.43319654464722,-600
18,-1400,99,69.50026440620422,-600
19,-1945,99,73.14124703407288,-600
20,-2565,99,76.97463178634644,-600
21,-2400,99,81.09260535240173,-600
22,-2005,99,84.52669048309326,-600
23,-600,99,88.51552534103394,-600
24,-1675,99,92.34408783912659,-600
25,-2635,99,95.9874894618988,-600
26,-1850,99,99.4652738571167,-600
27,-1745,99,102.5186972618103,-600
28,-2225,99,105.41908240318298,-600
29,-2320,99,109.22765278816223,-600
30,-1045,99,113.30555820465088,-600
31,-2350,99,116.99501395225525,-600
32,-1360,99,120.50298976898193,-600
33,-1655,99,125.06762290000916,-600
34,-2170,99,128.37249159812927,-600
35,-1725,99,132.6283848285675,-600
36,-1145,99,135.88709568977356,-600
37,-1465,99,139.21200823783875,-600
38,-780,99,142.52411532402039,-600
39,-2990,99,146.43285059928894,-600
40,-2545,99,150.55612349510193,-600
41,-1840,99,154.55462455749512,-600
42,-1815,99,157.7054648399353,-600
43,-1845,99,161.49918174743652,-600
44,-2850,99,165.14299702644348,-600
45,-2770,99,169.07807183265686,-600
46,-835,99,172.937077999115,-600
47,-2660,99,176.48582458496094,-600
48,-2155,99,180.99558544158936,-600
49,-2065,99,184.57557654380798,-600
50,-1800,99,188.74316954612732,-600
51,-2990,99,192.77286386489868,-600
52,-1575,99,196.3299479484558,-600
53,-2285,99,200.19522428512573,-600
54,-1300,99,202.9404170513153,-600
55,-1485,99,206.76748204231262,-600
56,-1575,99,210.69804191589355,-600
57,-1070,99,214.37780165672302,-600
58,-2475,99,217.86955952644348,-600
59,-2200,99,221.49675798416138,-600
60,-570,99,224.88670992851257,-570
61,-1345,99,228.4048626422882,-570
62,-790,99,232.36251783370972,-570
63,-1155,99,235.79513382911682,-570
64,-1685,99,239.60553765296936,-570
65,-2485,99,242.92160201072693,-570
66,-1780,99,246.97475838661194,-570
67,-3750,99,251.1295998096466,-570
68,-2050,99,254.91292428970337,-570
69,-1270,99,258.45508909225464,-570
70,-1185,99,261.90703797340393,-570
71,-2115,99,266.03963255882263,-570
72,-2320,99,270.35019040107727,-570
73,-3150,99,274.45569705963135,-570
74,-1105,99,278.15543365478516,-570
75,-1825,99,282.40753412246704,-570
76,-1685,99,286.3303062915802,-570
77,-2255,99,290.4624652862549,-570
78,-1875,99,294.7584888935089,-570
79,-3025,99,298.5350766181946,-570
80,-1090,99,302.73552918434143,-570
81,-1990,99,306.56526923179626,-570
82,-1265,99,310.91234731674194,-570
83,-3465,99,314.3620421886444,-570
84,-1135,99,318.26591444015503,-570
85,-1530,99,322.3403787612915,-570
86,-2075,99,326.3301839828491,-570
87,-2825,99,330.37988781929016,-570
88,-2765,99,334.49240159988403,-570
89,-2215,99,338.03333377838135,-570
90,-2275,99,341.9457035064697,-570
91,-1340,99,345.2601761817932,-570
92,-2330,99,349.11231541633606,-570
93,-1265,99,352.1584756374359,-570
94,-1735,99,355.8230619430542,-570
95,-1155,99,360.1567039489746,-570
96,-1140,99,363.72358679771423,-570
97,-2105,99,367.85449290275574,-570
98,-1335,99,372.2335855960846,-570
99,-1590,99,376.1607782840729,-570
100,-3225,99,379.72460746765137,-570
101,-2465,99,383.2522966861725,-570
102,-2360,99,387.4462387561798,-570
103,-2715,99,391.3603603839874,-570
104,-1865,99,394.6036059856415,-570
105,-1355,99,398.17557096481323,-570
106,-1365,99,401.94418931007385,-570
107,-2455,99,406.0009765625,-570
108,-705,99,409.930876493454,-570
109,-1810,99,414.0447998046875,-570
110,-1125,99,418.3648245334625,-570
111,-2200,99,422.0141429901123,-570
112,-2345,99,425.34418988227844,-570
113,-750,99,430.1948461532593,-570
114,-2240,99,434.7364819049835,-570
115,-1875,99,437.82795882225037,-570
116,-2195,99,441.53761649131775,-570
117,-1435,99,444.8689305782318,-570
118,-2040,99,448.60577178001404,-570
119,-2290,99,452.1940686702728,-570
120,-2025,99,456.06819248199463,-570
121,-1765,99,459.9648277759552,-570
122,-1940,99,463.9665732383728,-570
123,-690,99,467.6371817588806,-570
124,-1625,99,471.16832280158997,-570
125,-1995,99,474.6957802772522,-570
126,-1840,99,478.7719552516937,-570
127,-1710,99,482.2784757614136,-570
128,-1145,99,485.65850925445557,-570
129,-1555,99,488.9331216812134,-570
130,-2790,99,493.4139897823334,-570
131,-1820,99,496.73522686958313,-570
132,-1910,99,500.3344442844391,-570
133,-1850,99,504.2141091823578,-570
134,-1320,99,508.06374883651733,-570
135,-2795,99,511.97679352760315,-570
136,-1885,99,515.740355014801,-570
137,-1480,99,518.8954582214355,-570
138,-2330,99,522.4184265136719,-570
139,-2735,99,526.2086429595947,-570
140,-2260,99,530.063413143158,-570
141,-1745,99,533.5005025863647,-570
142,-3100,99,537.3309674263,-570
143,-1195,99,540.8962049484253,-570
144,-845,99,544.8273031711578,-570
145,-2170,99,548.307315826416,-570
146,-2715,99,551.652880191803,-570
147,-1975,99,555.4648821353912,-570
148,-1625,99,559.3684859275818,-570
149,-2480,99,563.4209320545197,-570
150,-1830,99,566.9457352161407,-570
151,-2680,99,571.1230442523956,-570
152,-1870,99,575.0643758773804,-570
153,-2290,99,579.5833899974823,-570
154,-1905,99,583.5375325679779,-570
155,-2615,99,586.9603159427643,-570
156,-3130,99,590.9507756233215,-570
157,-2795,99,595.04137134552,-570
158,-2850,99,598.6697800159454,-570
159,-1760,99,602.0815308094025,-570
160,-1435,99,605.5473732948303,-570
