iteration,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_loss,vf_loss,entropy,kl,elapsed_time,best_reward
0,-2320.0,-1120.0,-3740.0,99.0,0,0,0,0,48.52203631401062,-2320.0
1,-2342.125,-755.0,-3895.0,99.0,0,0,0,0,99.79770517349243,-2320.0
2,-2267.8333333333335,-755.0,-4270.0,99.0,0,0,0,0,150.04140400886536,-2267.8333333333335
3,-2266.6875,-755.0,-4605.0,99.0,0,0,0,0,197.0371310710907,-2266.6875
4,-2233.75,-755.0,-4605.0,99.0,0,0,0,0,244.9314296245575,-2233.75
5,-2201.0,-755.0,-4605.0,99.0,0,0,0,0,296.4217019081116,-2201.0
6,-2058.35,-730.0,-4605.0,99.0,0,0,0,0,345.65142250061035,-2058.35
7,-1905.25,-505.0,-4605.0,99.0,0,0,0,0,396.408673286438,-1905.25
8,-1756.75,-505.0,-3870.0,99.0,0,0,0,0,446.80057644844055,-1756.75
9,-1654.8,-505.0,-3615.0,99.0,0,0,0,0,493.6613609790802,-1654.8
10,-1503.6,-505.0,-3355.0,99.0,0,0,0,0,542.7056193351746,-1503.6
11,-1456.1,-505.0,-3355.0,99.0,0,0,0,0,591.927604675293,-1456.1
12,-1412.15,-500.0,-3355.0,99.0,0,0,0,0,640.6939659118652,-1412.15
13,-1328.2,-405.0,-3355.0,99.0,0,0,0,0,691.7397518157959,-1328.2
14,-1262.85,-310.0,-2925.0,99.0,0,0,0,0,741.0262744426727,-1262.85
15,-1206.55,-310.0,-2925.0,99.0,0,0,0,0,790.388397693634,-1206.55
16,-1149.45,-310.0,-2925.0,99.0,0,0,0,0,840.8137764930725,-1149.45
17,-1116.25,-310.0,-2815.0,99.0,0,0,0,0,890.7087314128876,-1116.25
18,-1066.8,-260.0,-2815.0,99.0,0,0,0,0,942.188449382782,-1066.8
19,-1018.45,-260.0,-2580.0,99.0,0,0,0,0,994.2023024559021,-1018.45
20,-1009.1,-250.0,-2580.0,99.0,0,0,0,0,1042.9405999183655,-1009.1
21,-967.15,-250.0,-2580.0,99.0,0,0,0,0,1090.8267166614532,-967.15
22,-953.9,-250.0,-2580.0,99.0,0,0,0,0,1138.0258581638336,-953.9
23,-952.7,-215.0,-2580.0,99.0,0,0,0,0,1196.9277365207672,-952.7
24,-878.9,-215.0,-2440.0,99.0,0,0,0,0,1245.0685839653015,-878.9
25,-837.0,-215.0,-2440.0,99.0,0,0,0,0,1292.6318998336792,-837.0
26,-811.4,-215.0,-2440.0,99.0,0,0,0,0,1341.3115065097809,-811.4
27,-803.2,-215.0,-2230.0,99.0,0,0,0,0,1390.2607452869415,-803.2
28,-804.1,-250.0,-2230.0,99.0,0,0,0,0,1437.4836773872375,-803.2
29,-797.85,-250.0,-2230.0,99.0,0,0,0,0,1486.0220589637756,-797.85
30,-783.95,-250.0,-2230.0,99.0,0,0,0,0,1537.867580652237,-783.95
31,-778.95,-220.0,-2230.0,99.0,0,0,0,0,1586.2184472084045,-778.95
32,-755.15,-220.0,-1600.0,99.0,0,0,0,0,1635.5833899974823,-755.15
33,-691.25,-220.0,-1600.0,99.0,0,0,0,0,1690.3403611183167,-691.25
34,-700.55,-220.0,-1710.0,99.0,0,0,0,0,1739.3061254024506,-691.25
35,-680.25,-220.0,-1710.0,99.0,0,0,0,0,1791.4482340812683,-680.25
36,-671.2,-225.0,-1710.0,99.0,0,0,0,0,1841.547293663025,-671.2
37,-651.75,-225.0,-1710.0,99.0,0,0,0,0,1894.3619594573975,-651.75
38,-639.0,-225.0,-1710.0,99.0,0,0,0,0,1945.8554015159607,-639.0
39,-634.45,-225.0,-1480.0,99.0,0,0,0,0,1998.8070328235626,-634.45
40,-628.45,-225.0,-1480.0,99.0,0,0,0,0,2046.9191348552704,-628.45
41,-684.3,-165.0,-2125.0,99.0,0,0,0,0,2093.9864706993103,-628.45
42,-669.05,-165.0,-2125.0,99.0,0,0,0,0,2139.085723400116,-628.45
43,-703.35,-165.0,-2125.0,99.0,0,0,0,0,2187.0668761730194,-628.45
44,-678.3,-140.0,-2125.0,99.0,0,0,0,0,2237.9659612178802,-628.45
45,-672.2,-140.0,-2125.0,99.0,0,0,0,0,2288.608243227005,-628.45
46,-618.15,-140.0,-1765.0,99.0,0,0,0,0,2337.7517218589783,-618.15
47,-610.35,-140.0,-2130.0,99.0,0,0,0,0,2388.1025171279907,-610.35
48,-567.45,-140.0,-2130.0,99.0,0,0,0,0,2440.014150619507,-567.45
49,-562.4,-160.0,-2130.0,99.0,0,0,0,0,2489.1352722644806,-562.4
50,-551.75,-160.0,-2130.0,99.0,0,0,0,0,2538.997305870056,-551.75
51,-600.25,-160.0,-2130.0,99.0,0,0,0,0,2587.3818140029907,-551.75
52,-624.55,-185.0,-1610.0,99.0,0,0,0,0,2639.4307243824005,-551.75
53,-626.65,-145.0,-1610.0,99.0,0,0,0,0,2685.0150315761566,-551.75
54,-680.9,-145.0,-2310.0,99.0,0,0,0,0,2733.1144590377808,-551.75
55,-694.45,-145.0,-2310.0,99.0,0,0,0,0,2783.839638233185,-551.75
56,-641.1,-145.0,-2310.0,99.0,0,0,0,0,2831.502893447876,-551.75
57,-665.05,-145.0,-2310.0,99.0,0,0,0,0,2881.095070838928,-551.75
58,-682.45,-155.0,-2310.0,99.0,0,0,0,0,2927.0774142742157,-551.75
59,-642.35,-155.0,-1730.0,99.0,0,0,0,0,2975.686284303665,-551.75
60,-671.65,-155.0,-1730.0,99.0,0,0,0,0,3024.4025497436523,-551.75
61,-677.0,-155.0,-1990.0,99.0,0,0,0,0,3073.440176010132,-551.75
62,-690.6,-155.0,-1990.0,99.0,0,0,0,0,3121.5848195552826,-551.75
63,-690.75,-155.0,-1990.0,99.0,0,0,0,0,3169.711028814316,-551.75
64,-699.6,-205.0,-1990.0,99.0,0,0,0,0,3218.969252347946,-551.75
65,-682.1,-190.0,-1990.0,99.0,0,0,0,0,3266.61093044281,-551.75
66,-687.6,-190.0,-1965.0,99.0,0,0,0,0,3315.9699733257294,-551.75
67,-635.2,-190.0,-1700.0,99.0,0,0,0,0,3367.1503410339355,-551.75
68,-598.5,-190.0,-1700.0,99.0,0,0,0,0,3416.204131603241,-551.75
69,-607.4,-190.0,-1700.0,99.0,0,0,0,0,3467.3056654930115,-551.75
70,-596.55,-195.0,-1700.0,99.0,0,0,0,0,3514.6609659194946,-551.75
71,-571.5,-195.0,-1600.0,99.0,0,0,0,0,3564.946489095688,-551.75
72,-563.25,-195.0,-1600.0,99.0,0,0,0,0,3615.69042301178,-551.75
73,-558.55,-195.0,-1600.0,99.0,0,0,0,0,3664.95543217659,-551.75
74,-545.5,-215.0,-1600.0,99.0,0,0,0,0,3710.8570342063904,-545.5
75,-533.05,-140.0,-1600.0,99.0,0,0,0,0,3760.9792273044586,-533.05
76,-528.9,-130.0,-1255.0,99.0,0,0,0,0,3811.4620308876038,-528.9
77,-551.05,-130.0,-1630.0,99.0,0,0,0,0,3859.7089495658875,-528.9
78,-543.0,-130.0,-1630.0,99.0,0,0,0,0,3913.307410955429,-528.9
79,-537.1,-125.0,-1630.0,99.0,0,0,0,0,3961.624795436859,-528.9
80,-577.05,-125.0,-1630.0,99.0,0,0,0,0,4007.6694304943085,-528.9
