iteration,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_loss,vf_loss,entropy,kl,elapsed_time,best_reward
0,-2237.5,-1130.0,-4490.0,99.0,0,0,0,0,46.65721654891968,-2237.5
1,-2268.25,-700.0,-4490.0,99.0,0,0,0,0,141.79339337348938,-2237.5
2,-2123.3333333333335,-700.0,-4490.0,99.0,0,0,0,0,238.10299396514893,-2123.3333333333335
3,-2081.0,-700.0,-4490.0,99.0,0,0,0,0,331.52114629745483,-2081.0
4,-2090.3,-700.0,-4490.0,99.0,0,0,0,0,426.9941532611847,-2081.0
5,-1971.8333333333333,-235.0,-4490.0,99.0,0,0,0,0,521.852527141571,-1971.8333333333333
6,-1871.7142857142858,-235.0,-4490.0,99.0,0,0,0,0,617.1869022846222,-1871.7142857142858
7,-1838.75,-235.0,-4490.0,99.0,0,0,0,0,714.174245595932,-1838.75
8,-1748.111111111111,-235.0,-4490.0,99.0,0,0,0,0,809.5887861251831,-1748.111111111111
9,-1599.5,-80.0,-3470.0,99.0,0,0,0,0,905.5492391586304,-1599.5
10,-1459.15,-80.0,-3470.0,99.0,0,0,0,0,1007.5085053443909,-1459.15
11,-1280.15,-35.0,-3350.0,99.0,0,0,0,0,1107.7408649921417,-1280.15
12,-1179.7,-35.0,-3350.0,99.0,0,0,0,0,1218.155858039856,-1179.7
13,-1032.7,-35.0,-3315.0,99.0,0,0,0,0,1314.6140711307526,-1032.7
14,-890.5,-35.0,-2425.0,99.0,0,0,0,0,1410.6325101852417,-890.5
15,-803.9,-35.0,-2425.0,99.0,0,0,0,0,1508.300077676773,-803.9
16,-732.2,-35.0,-2425.0,99.0,0,0,0,0,1605.7300050258636,-732.2
17,-634.6,-35.0,-1945.0,99.0,0,0,0,0,1704.9422585964203,-634.6
18,-592.85,-35.0,-1945.0,99.0,0,0,0,0,1807.9265744686127,-592.85
19,-593.25,-35.0,-1945.0,99.0,0,0,0,0,1910.2209525108337,-592.85
