Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
  使用GPU: 3
================================================================================
MCTS训练配置
  训练迭代: 1000
  Episode长度: 100
  MCTS模拟次数: 50
================================================================================

开始训练 MCTS...
训练数据将保存到: parallel_training_20251209_214425/checkpoints/training_data/mcts_training_data.csv
[   0/1000] MCTS | Reward: -2245.00 | Best: -2245.00 | Length:  99 | Time: 0.1min
[  10/1000] MCTS | Reward:  -600.00 | Best:  -600.00 | Length:  99 | Time: 0.7min
[  20/1000] MCTS | Reward: -2565.00 | Best:  -600.00 | Length:  99 | Time: 1.3min
[  30/1000] MCTS | Reward: -1045.00 | Best:  -600.00 | Length:  99 | Time: 1.9min
[  40/1000] MCTS | Reward: -2545.00 | Best:  -600.00 | Length:  99 | Time: 2.5min
[  50/1000] MCTS | Reward: -1800.00 | Best:  -600.00 | Length:  99 | Time: 3.1min
[  60/1000] MCTS | Reward:  -570.00 | Best:  -570.00 | Length:  99 | Time: 3.7min
[  70/1000] MCTS | Reward: -1185.00 | Best:  -570.00 | Length:  99 | Time: 4.4min
[  80/1000] MCTS | Reward: -1090.00 | Best:  -570.00 | Length:  99 | Time: 5.0min
[  90/1000] MCTS | Reward: -2275.00 | Best:  -570.00 | Length:  99 | Time: 5.7min
[ 100/1000] MCTS | Reward: -3225.00 | Best:  -570.00 | Length:  99 | Time: 6.3min
[ 110/1000] MCTS | Reward: -1125.00 | Best:  -570.00 | Length:  99 | Time: 7.0min
[ 120/1000] MCTS | Reward: -2025.00 | Best:  -570.00 | Length:  99 | Time: 7.6min
[ 130/1000] MCTS | Reward: -2790.00 | Best:  -570.00 | Length:  99 | Time: 8.2min
[ 140/1000] MCTS | Reward: -2260.00 | Best:  -570.00 | Length:  99 | Time: 8.8min
[ 150/1000] MCTS | Reward: -1830.00 | Best:  -570.00 | Length:  99 | Time: 9.4min
[ 160/1000] MCTS | Reward: -1435.00 | Best:  -570.00 | Length:  99 | Time: 10.1min
[ 170/1000] MCTS | Reward: -3210.00 | Best:  -570.00 | Length:  99 | Time: 10.7min
[ 180/1000] MCTS | Reward: -2145.00 | Best:  -570.00 | Length:  99 | Time: 11.4min
[ 190/1000] MCTS | Reward: -3475.00 | Best:  -570.00 | Length:  99 | Time: 12.0min
[ 200/1000] MCTS | Reward: -2320.00 | Best:  -570.00 | Length:  99 | Time: 12.6min
[ 210/1000] MCTS | Reward: -2475.00 | Best:  -570.00 | Length:  99 | Time: 13.2min
[ 220/1000] MCTS | Reward: -1055.00 | Best:  -570.00 | Length:  99 | Time: 13.8min
[ 230/1000] MCTS | Reward: -1300.00 | Best:  -570.00 | Length:  99 | Time: 14.5min
[ 240/1000] MCTS | Reward: -3655.00 | Best:  -570.00 | Length:  99 | Time: 15.1min
[ 250/1000] MCTS | Reward: -2715.00 | Best:  -570.00 | Length:  99 | Time: 15.8min
[ 260/1000] MCTS | Reward: -3565.00 | Best:  -570.00 | Length:  99 | Time: 16.4min
[ 270/1000] MCTS | Reward: -2900.00 | Best:  -570.00 | Length:  99 | Time: 17.0min
[ 280/1000] MCTS | Reward: -2045.00 | Best:  -570.00 | Length:  99 | Time: 17.6min
