iteration,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_loss,vf_loss,entropy,kl,elapsed_time,best_reward
70,-621.5,-140.0,-1845.0,99.0,0,0,0,0,3539.4072890281677,-577.45
71,-635.1,-140.0,-1845.0,99.0,0,0,0,0,3584.5965180397034,-577.45
72,-597.95,-140.0,-1530.0,99.0,0,0,0,0,3633.3450167179108,-577.45
73,-577.6,-140.0,-1530.0,99.0,0,0,0,0,3683.646415948868,-577.45
74,-598.1,-140.0,-1530.0,99.0,0,0,0,0,3734.542226076126,-577.45
75,-604.85,-170.0,-1490.0,99.0,0,0,0,0,3782.663295507431,-577.45
76,-637.75,-170.0,-1465.0,99.0,0,0,0,0,3833.196118116379,-577.45
77,-692.2,-170.0,-1465.0,99.0,0,0,0,0,3880.66122674942,-577.45
78,-716.7,-185.0,-1465.0,99.0,0,0,0,0,3928.3345251083374,-577.45
79,-686.1,-175.0,-1465.0,99.0,0,0,0,0,3973.976908683777,-577.45
80,-668.95,-175.0,-1465.0,99.0,0,0,0,0,4023.9220106601715,-577.45
81,-663.9,-135.0,-1915.0,99.0,0,0,0,0,4074.1429505348206,-577.45
82,-621.6,-135.0,-1915.0,99.0,0,0,0,0,4123.783210515976,-577.45
83,-628.6,-135.0,-1915.0,99.0,0,0,0,0,4170.208589315414,-577.45
84,-629.55,-135.0,-1915.0,99.0,0,0,0,0,4218.924777269363,-577.45
85,-654.5,-135.0,-1975.0,99.0,0,0,0,0,4267.663912057877,-577.45
86,-632.9,-170.0,-1975.0,99.0,0,0,0,0,4314.9689836502075,-577.45
87,-641.3,-170.0,-1975.0,99.0,0,0,0,0,4364.947993040085,-577.45
88,-631.65,-150.0,-1975.0,99.0,0,0,0,0,4413.75674366951,-577.45
89,-639.95,-110.0,-1975.0,99.0,0,0,0,0,4463.841068029404,-577.45
90,-621.3,-110.0,-1505.0,99.0,0,0,0,0,4513.470675230026,-577.45
91,-600.4,-110.0,-1190.0,99.0,0,0,0,0,4559.182384490967,-577.45
92,-602.5,-110.0,-1920.0,99.0,0,0,0,0,4606.799893140793,-577.45
93,-580.4,-110.0,-1920.0,99.0,0,0,0,0,4657.243466615677,-577.45
94,-547.1,-135.0,-1920.0,99.0,0,0,0,0,4706.270888328552,-547.1
95,-532.1,-135.0,-1920.0,99.0,0,0,0,0,4755.449758768082,-532.1
96,-554.2,-135.0,-1920.0,99.0,0,0,0,0,4803.488717317581,-532.1
97,-530.9,-125.0,-1360.0,99.0,0,0,0,0,4853.142519712448,-530.9
98,-532.2,-125.0,-1360.0,99.0,0,0,0,0,4900.974058389664,-530.9
99,-543.05,-125.0,-1445.0,99.0,0,0,0,0,4949.082013607025,-530.9
100,-551.4,-125.0,-1535.0,99.0,0,0,0,0,4998.000700712204,-530.9
101,-564.3,-125.0,-2075.0,99.0,0,0,0,0,5046.577780246735,-530.9
102,-563.25,-125.0,-2075.0,99.0,0,0,0,0,5094.743538856506,-530.9
103,-576.8,-125.0,-2075.0,99.0,0,0,0,0,5144.12017250061,-530.9
104,-601.0,-125.0,-2075.0,99.0,0,0,0,0,5193.006630182266,-530.9
105,-593.45,-155.0,-2075.0,99.0,0,0,0,0,5243.17395401001,-530.9
106,-554.4,-155.0,-1595.0,99.0,0,0,0,0,5290.846355438232,-530.9
107,-564.25,-130.0,-1595.0,99.0,0,0,0,0,5338.045984506607,-530.9
108,-580.15,-130.0,-1815.0,99.0,0,0,0,0,5383.363451242447,-530.9
109,-564.65,-130.0,-1815.0,99.0,0,0,0,0,5432.657856941223,-530.9
110,-559.1,-130.0,-1815.0,99.0,0,0,0,0,5479.9519302845,-530.9
111,-580.9,-130.0,-1815.0,99.0,0,0,0,0,5529.343277454376,-530.9
112,-602.8,-175.0,-1815.0,99.0,0,0,0,0,5575.459116697311,-530.9
113,-602.15,-45.0,-1285.0,99.0,0,0,0,0,5624.632525682449,-530.9
114,-573.9,-45.0,-1630.0,99.0,0,0,0,0,5674.524404764175,-530.9
115,-588.15,-45.0,-1630.0,99.0,0,0,0,0,5723.622870206833,-530.9
116,-583.85,-45.0,-1630.0,99.0,0,0,0,0,5771.619725704193,-530.9
117,-570.5,-45.0,-1630.0,99.0,0,0,0,0,5817.453154325485,-530.9
118,-531.55,-100.0,-1435.0,99.0,0,0,0,0,5865.2492616176605,-530.9
119,-576.25,-100.0,-1435.0,99.0,0,0,0,0,5914.77544260025,-530.9
120,-579.25,-100.0,-1410.0,99.0,0,0,0,0,5961.2016768455505,-530.9
121,-565.9,-100.0,-1410.0,99.0,0,0,0,0,6010.627725124359,-530.9
122,-550.6,-100.0,-1410.0,99.0,0,0,0,0,6060.488638162613,-530.9
123,-579.5,-145.0,-1410.0,99.0,0,0,0,0,6108.22429728508,-530.9
124,-584.0,-145.0,-1795.0,99.0,0,0,0,0,6156.206103086472,-530.9
125,-571.55,-145.0,-1905.0,99.0,0,0,0,0,6205.082105636597,-530.9
126,-594.5,-130.0,-1905.0,99.0,0,0,0,0,6252.2239146232605,-530.9
127,-610.55,-130.0,-1905.0,99.0,0,0,0,0,6299.678115367889,-530.9
128,-602.55,-125.0,-1905.0,99.0,0,0,0,0,6346.567814350128,-530.9
129,-580.0,-125.0,-1905.0,99.0,0,0,0,0,6393.5355858802795,-530.9
130,-569.35,-125.0,-1885.0,99.0,0,0,0,0,6439.215865135193,-530.9
131,-536.25,-100.0,-1560.0,99.0,0,0,0,0,6486.5629506111145,-530.9
