iteration,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_loss,vf_loss,entropy,kl,elapsed_time,best_reward
0,-2211.0,-1435.0,-3420.0,99.0,0,0,0,0,47.346532106399536,-2211.0
1,-2264.25,-1165.0,-3480.0,99.0,0,0,0,0,238.86046648025513,-2211.0
2,-2207.1666666666665,-1165.0,-3480.0,99.0,0,0,0,0,333.74887228012085,-2207.1666666666665
3,-2226.75,-1075.0,-3480.0,99.0,0,0,0,0,428.82887506484985,-2207.1666666666665
4,-2230.0,-1075.0,-4140.0,99.0,0,0,0,0,529.3103821277618,-2207.1666666666665
5,-2158.5,-905.0,-4140.0,99.0,0,0,0,0,628.5993483066559,-2158.5
6,-2091.5714285714284,-905.0,-4140.0,99.0,0,0,0,0,726.9106731414795,-2091.5714285714284
7,-1954.0625,-285.0,-4140.0,99.0,0,0,0,0,826.7041256427765,-1954.0625
8,-1876.1666666666667,-250.0,-4140.0,99.0,0,0,0,0,926.2934846878052,-1876.1666666666667
9,-1754.6,-250.0,-4140.0,99.0,0,0,0,0,1024.7738251686096,-1754.6
10,-1593.05,-250.0,-4140.0,99.0,0,0,0,0,1123.345598936081,-1593.05
11,-1439.2,-100.0,-4140.0,99.0,0,0,0,0,1218.946750164032,-1439.2
12,-1287.8,-10.0,-4140.0,99.0,0,0,0,0,1314.4707062244415,-1287.8
13,-1125.35,-10.0,-4140.0,99.0,0,0,0,0,1410.3623423576355,-1125.35
14,-943.6,-10.0,-2605.0,99.0,0,0,0,0,1506.572613954544,-943.6
15,-836.85,-10.0,-2605.0,99.0,0,0,0,0,1612.5687279701233,-836.85
16,-758.45,-10.0,-2605.0,99.0,0,0,0,0,1721.6037232875824,-758.45
17,-702.4,-10.0,-2255.0,99.0,0,0,0,0,1828.147827386856,-702.4
18,-640.5,-10.0,-2000.0,99.0,0,0,0,0,1931.8807351589203,-640.5
19,-626.45,-10.0,-1775.0,99.0,0,0,0,0,2034.1628968715668,-626.45
20,-616.0,-10.0,-1640.0,99.0,0,0,0,0,2136.3778686523438,-616.0
21,-615.45,-30.0,-1640.0,99.0,0,0,0,0,2241.702159166336,-615.45
22,-613.0,-90.0,-1640.0,99.0,0,0,0,0,2348.2217116355896,-613.0
23,-596.9,-60.0,-1640.0,99.0,0,0,0,0,2456.4231774806976,-596.9
24,-594.75,-60.0,-1640.0,99.0,0,0,0,0,2563.1940462589264,-594.75
25,-592.85,-60.0,-1640.0,99.0,0,0,0,0,2668.884847164154,-592.85
26,-580.55,-60.0,-1450.0,99.0,0,0,0,0,2771.153870344162,-580.55
27,-567.5,-60.0,-1450.0,99.0,0,0,0,0,2875.9630279541016,-567.5
28,-567.9,-60.0,-1450.0,99.0,0,0,0,0,2984.7743303775787,-567.5
29,-563.6,-60.0,-1450.0,99.0,0,0,0,0,3087.7465872764587,-563.6
30,-589.8,-60.0,-1785.0,99.0,0,0,0,0,3196.814686059952,-563.6
31,-586.7,-60.0,-1785.0,99.0,0,0,0,0,3298.549645423889,-563.6
32,-594.75,-60.0,-1785.0,99.0,0,0,0,0,3403.878331422806,-563.6
33,-588.9,-85.0,-1785.0,99.0,0,0,0,0,3507.891125202179,-563.6
