iteration,episode_reward,episode_length
348,-635.0,99
349,-590.0,99
350,-840.0,99
351,-440.0,99
352,-600.0,99
353,-935.0,99
354,-390.0,99
355,-570.0,99
356,-750.0,99
357,-780.0,99
358,-420.0,99
359,-770.0,99
360,-580.0,99
361,-680.0,99
362,-635.0,99
363,-415.0,99
364,-845.0,99
365,-775.0,99
366,-390.0,99
367,-420.0,99
368,-800.0,99
369,-320.0,99
370,-1105.0,99
371,-490.0,99
372,-980.0,99
373,-610.0,99
374,-490.0,99
375,-1265.0,99
376,-595.0,99
377,-630.0,99
378,-685.0,99
379,-525.0,99
380,-825.0,99
381,-475.0,99
382,-715.0,99
383,-660.0,99
384,-1125.0,99
385,-360.0,99
386,-615.0,99
387,-480.0,99
388,-605.0,99
389,-865.0,99
390,-570.0,99
391,-1100.0,99
392,-485.0,99
393,-455.0,99
394,-1305.0,99
395,-335.0,99
396,-520.0,99
397,-520.0,99
398,-565.0,99
399,-295.0,99
400,-290.0,99
401,-715.0,99
402,-445.0,99
403,-840.0,99
404,-850.0,99
405,-930.0,99
406,-655.0,99
407,-635.0,99
408,-645.0,99
409,-430.0,99
410,-535.0,99
411,-575.0,99
412,-735.0,99
413,-645.0,99
414,-1020.0,99
415,-465.0,99
416,-720.0,99
417,-525.0,99
418,-1545.0,99
419,-420.0,99
420,-515.0,99
421,-520.0,99
422,-300.0,99
423,-540.0,99
424,-540.0,99
425,-1190.0,99
426,-610.0,99
427,-670.0,99
428,-710.0,99
429,-595.0,99
430,-615.0,99
431,-350.0,99
432,-455.0,99
433,-1075.0,99
434,-800.0,99
435,-595.0,99
436,-830.0,99
437,-550.0,99
438,-560.0,99
439,-410.0,99
440,-370.0,99
441,-620.0,99
442,-975.0,99
443,-1500.0,99
444,-410.0,99
445,-570.0,99
446,-400.0,99
447,-520.0,99
448,-730.0,99
449,-320.0,99
450,-700.0,99
451,-410.0,99
452,-570.0,99
453,-730.0,99
454,-1095.0,99
455,-1110.0,99
456,-420.0,99
457,-535.0,99
458,-475.0,99
459,-690.0,99
460,-935.0,99
461,-505.0,99
462,-760.0,99
463,-950.0,99
464,-855.0,99
465,-530.0,99
466,-365.0,99
467,-605.0,99
468,-790.0,99
469,-605.0,99
470,-470.0,99
471,-1340.0,99
472,-325.0,99
473,-965.0,99
474,-740.0,99
475,-335.0,99
476,-400.0,99
477,-585.0,99
478,-670.0,99
479,-640.0,99
480,-550.0,99
481,-620.0,99
482,-675.0,99
483,-450.0,99
484,-775.0,99
485,-1015.0,99
486,-1095.0,99
487,-840.0,99
488,-1330.0,99
489,-780.0,99
490,-675.0,99
491,-575.0,99
492,-625.0,99
493,-520.0,99
494,-390.0,99
495,-490.0,99
496,-870.0,99
497,-605.0,99
498,-815.0,99
499,-720.0,99
