iteration,episode_reward,episode_length
0,-1965.0,99
1,-3475.0,99
2,-1075.0,99
3,-1395.0,99
4,-1495.0,99
5,-1330.0,99
6,-2275.0,99
7,-3400.0,99
8,-2890.0,99
9,-1720.0,99
10,-2145.0,99
11,-3070.0,99
12,-1455.0,99
13,-2015.0,99
14,-885.0,99
15,-1975.0,99
16,-3510.0,99
17,-830.0,99
18,-2415.0,99
19,-2785.0,99
20,-1250.0,99
21,-2060.0,99
22,-3035.0,99
23,-1835.0,99
24,-1175.0,99
25,-1365.0,99
26,-1960.0,99
27,-760.0,99
28,-2080.0,99
29,-3105.0,99
30,-2025.0,99
31,-1125.0,99
32,-1900.0,99
33,-2390.0,99
34,-1210.0,99
35,-1120.0,99
36,-735.0,99
37,-1560.0,99
38,-2515.0,99
39,-1020.0,99
40,-1415.0,99
41,-1105.0,99
42,-1885.0,99
43,-1165.0,99
44,-2685.0,99
45,-2010.0,99
46,-1550.0,99
47,-2025.0,99
48,-1140.0,99
49,-915.0,99
50,-2875.0,99
51,-2960.0,99
52,-775.0,99
53,-1925.0,99
54,-2895.0,99
55,-1880.0,99
56,-1150.0,99
57,-2340.0,99
58,-1350.0,99
59,-2290.0,99
