iteration,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_loss,vf_loss,entropy,kl,elapsed_time,best_reward
71,-670.4,-55.0,-1760.0,99.0,0,0,0,0,7922.551256418228,-495.55
72,-626.45,-55.0,-1760.0,99.0,0,0,0,0,8030.658537387848,-495.55
73,-636.25,-55.0,-1760.0,99.0,0,0,0,0,8136.622678041458,-495.55
74,-612.05,-70.0,-1760.0,99.0,0,0,0,0,8244.125171422958,-495.55
75,-641.85,-70.0,-1760.0,99.0,0,0,0,0,8350.990710258484,-495.55
76,-666.95,-70.0,-1760.0,99.0,0,0,0,0,8460.505060911179,-495.55
77,-658.55,-70.0,-1760.0,99.0,0,0,0,0,8570.299650669098,-495.55
78,-654.6,-70.0,-1760.0,99.0,0,0,0,0,8676.18761062622,-495.55
79,-661.15,-70.0,-1630.0,99.0,0,0,0,0,8785.636242628098,-495.55
80,-678.85,-70.0,-1645.0,99.0,0,0,0,0,8895.22785115242,-495.55
81,-685.9,-125.0,-1645.0,99.0,0,0,0,0,9001.373336076736,-495.55
82,-702.3,-125.0,-1645.0,99.0,0,0,0,0,9113.092245101929,-495.55
83,-716.95,-125.0,-1645.0,99.0,0,0,0,0,9221.944734573364,-495.55
84,-728.35,-125.0,-1645.0,99.0,0,0,0,0,9331.372789621353,-495.55
85,-727.65,-125.0,-1650.0,99.0,0,0,0,0,9441.712465763092,-495.55
86,-713.95,-125.0,-1650.0,99.0,0,0,0,0,9548.933673620224,-495.55
87,-714.2,-85.0,-1650.0,99.0,0,0,0,0,9656.576916456223,-495.55
88,-736.2,-85.0,-1650.0,99.0,0,0,0,0,9761.337822198868,-495.55
89,-700.45,-85.0,-1650.0,99.0,0,0,0,0,9874.86157488823,-495.55
90,-655.5,-85.0,-1650.0,99.0,0,0,0,0,9985.703238725662,-495.55
91,-640.35,-85.0,-1650.0,99.0,0,0,0,0,10092.562022686005,-495.55
92,-639.1,-85.0,-2110.0,99.0,0,0,0,0,10199.850592851639,-495.55
93,-631.45,-85.0,-2110.0,99.0,0,0,0,0,10309.087845802307,-495.55
94,-626.75,-85.0,-2110.0,99.0,0,0,0,0,10414.103569507599,-495.55
95,-613.7,-85.0,-2110.0,99.0,0,0,0,0,10521.836785078049,-495.55
96,-609.55,-85.0,-2110.0,99.0,0,0,0,0,10629.756922006607,-495.55
97,-610.6,-150.0,-2110.0,99.0,0,0,0,0,10737.858633756638,-495.55
98,-592.85,-150.0,-2110.0,99.0,0,0,0,0,10847.441835165024,-495.55
99,-615.55,-150.0,-2110.0,99.0,0,0,0,0,10955.530074596405,-495.55
100,-626.55,-115.0,-2110.0,99.0,0,0,0,0,11061.195800542831,-495.55
101,-634.65,-75.0,-2110.0,99.0,0,0,0,0,11172.207705020905,-495.55
102,-619.2,-50.0,-1845.0,99.0,0,0,0,0,11280.536037445068,-495.55
103,-613.55,-40.0,-1845.0,99.0,0,0,0,0,11385.746227741241,-495.55
104,-614.0,-40.0,-1845.0,99.0,0,0,0,0,11492.964811325073,-495.55
105,-611.3,-40.0,-1845.0,99.0,0,0,0,0,11601.23663020134,-495.55
106,-594.6,-35.0,-1845.0,99.0,0,0,0,0,11709.237276315689,-495.55
107,-595.4,-35.0,-1845.0,99.0,0,0,0,0,11817.14575457573,-495.55
108,-595.0,-35.0,-1845.0,99.0,0,0,0,0,11926.806148529053,-495.55
109,-579.9,-35.0,-1845.0,99.0,0,0,0,0,12038.494136571884,-495.55
110,-576.25,-35.0,-1845.0,99.0,0,0,0,0,12149.685817718506,-495.55
111,-561.8,-25.0,-1590.0,99.0,0,0,0,0,12256.317714452744,-495.55
112,-548.85,-25.0,-1590.0,99.0,0,0,0,0,12364.163628339767,-495.55
113,-531.65,-25.0,-1590.0,99.0,0,0,0,0,12471.702095508575,-495.55
114,-531.5,-25.0,-1590.0,99.0,0,0,0,0,12578.216961622238,-495.55
115,-531.7,-25.0,-1590.0,99.0,0,0,0,0,12691.64291024208,-495.55
116,-537.3,-25.0,-1450.0,99.0,0,0,0,0,12798.606481552124,-495.55
117,-545.5,-25.0,-1450.0,99.0,0,0,0,0,12903.785254001617,-495.55
118,-556.65,-25.0,-1450.0,99.0,0,0,0,0,13015.168679952621,-495.55
119,-552.05,-25.0,-1450.0,99.0,0,0,0,0,13123.614332199097,-495.55
120,-557.9,-25.0,-1450.0,99.0,0,0,0,0,13236.476215362549,-495.55
121,-555.75,-65.0,-1450.0,99.0,0,0,0,0,13349.755304336548,-495.55
122,-565.65,0.0,-1450.0,99.0,0,0,0,0,13458.988359451294,-495.55
123,-589.55,0.0,-1450.0,99.0,0,0,0,0,13565.961601018906,-495.55
124,-587.85,0.0,-1820.0,99.0,0,0,0,0,13674.073971509933,-495.55
125,-617.45,0.0,-1820.0,99.0,0,0,0,0,13784.874242305756,-495.55
126,-628.45,0.0,-1820.0,99.0,0,0,0,0,13892.067098617554,-495.55
127,-615.7,0.0,-1820.0,99.0,0,0,0,0,14001.025256633759,-495.55
128,-624.75,0.0,-1820.0,99.0,0,0,0,0,14111.173530817032,-495.55
129,-616.1,0.0,-1820.0,99.0,0,0,0,0,14219.821557998657,-495.55
130,-598.2,0.0,-1820.0,99.0,0,0,0,0,14329.400179862976,-495.55
131,-597.2,0.0,-1820.0,99.0,0,0,0,0,14439.028641939163,-495.55
132,-619.05,-50.0,-1820.0,99.0,0,0,0,0,14546.771062612534,-495.55
133,-642.3,-50.0,-1820.0,99.0,0,0,0,0,14654.037718296051,-495.55
134,-644.65,-100.0,-1795.0,99.0,0,0,0,0,14765.547500133514,-495.55
135,-626.05,-100.0,-1795.0,99.0,0,0,0,0,14877.814049720764,-495.55
136,-629.5,-100.0,-1795.0,99.0,0,0,0,0,14987.724926233292,-495.55
137,-659.75,-100.0,-1795.0,99.0,0,0,0,0,15099.972334384918,-495.55
138,-652.3,-100.0,-1795.0,99.0,0,0,0,0,15211.835959911346,-495.55
139,-629.85,-100.0,-1795.0,99.0,0,0,0,0,15320.972986459732,-495.55
140,-654.9,-100.0,-1795.0,99.0,0,0,0,0,15429.27545118332,-495.55
141,-661.55,-110.0,-1760.0,99.0,0,0,0,0,15542.391020298004,-495.55
142,-653.55,-115.0,-1760.0,99.0,0,0,0,0,15650.21343946457,-495.55
143,-613.65,-115.0,-1760.0,99.0,0,0,0,0,15757.769848108292,-495.55
144,-608.05,-60.0,-1760.0,99.0,0,0,0,0,15863.252958774567,-495.55
145,-630.45,-60.0,-1975.0,99.0,0,0,0,0,15975.098289728165,-495.55
146,-613.25,-60.0,-1975.0,99.0,0,0,0,0,16084.221353530884,-495.55
147,-611.8,-60.0,-1975.0,99.0,0,0,0,0,16191.838696956635,-495.55
148,-615.3,-60.0,-1975.0,99.0,0,0,0,0,16296.919059753418,-495.55
149,-618.8,-60.0,-1975.0,99.0,0,0,0,0,16404.998019695282,-495.55
150,-601.5,-60.0,-1975.0,99.0,0,0,0,0,16514.07465815544,-495.55
151,-596.85,-60.0,-1975.0,99.0,0,0,0,0,16623.500009536743,-495.55
152,-600.45,-60.0,-1975.0,99.0,0,0,0,0,16733.447357416153,-495.55
