iteration,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_loss,vf_loss,entropy,kl,elapsed_time,best_reward
0,-2177.75,-925.0,-3890.0,99.0,0,0,0,0,50.33617830276489,-2177.75
1,-2277.375,-925.0,-3930.0,99.0,0,0,0,0,99.49382615089417,-2177.75
2,-2320.25,-925.0,-5305.0,99.0,0,0,0,0,149.0580813884735,-2177.75
3,-2212.75,-740.0,-5305.0,99.0,0,0,0,0,198.27189707756042,-2177.75
4,-2160.8,-740.0,-5305.0,99.0,0,0,0,0,247.05669331550598,-2160.8
5,-2162.25,-740.0,-5305.0,99.0,0,0,0,0,295.1305642127991,-2160.8
6,-2016.55,-525.0,-5305.0,99.0,0,0,0,0,345.1382517814636,-2016.55
7,-1835.95,-525.0,-3695.0,99.0,0,0,0,0,395.4664933681488,-1835.95
8,-1790.6,-525.0,-3695.0,99.0,0,0,0,0,449.808002948761,-1790.6
9,-1661.85,-525.0,-3695.0,99.0,0,0,0,0,499.00073528289795,-1661.85
10,-1523.65,-395.0,-3695.0,99.0,0,0,0,0,545.4239544868469,-1523.65
11,-1441.0,-395.0,-3695.0,99.0,0,0,0,0,592.5748925209045,-1441.0
12,-1381.7,-395.0,-2775.0,99.0,0,0,0,0,640.2645580768585,-1381.7
13,-1268.9,-395.0,-2775.0,99.0,0,0,0,0,688.958062171936,-1268.9
14,-1180.2,-395.0,-2775.0,99.0,0,0,0,0,736.925624370575,-1180.2
15,-1143.05,-420.0,-2615.0,99.0,0,0,0,0,787.3646352291107,-1143.05
16,-1129.15,-345.0,-2615.0,99.0,0,0,0,0,839.353110074997,-1129.15
17,-1091.4,-345.0,-2615.0,99.0,0,0,0,0,888.0491075515747,-1091.4
18,-1083.8,-300.0,-2745.0,99.0,0,0,0,0,936.8084568977356,-1083.8
19,-1043.95,-300.0,-2745.0,99.0,0,0,0,0,986.8629398345947,-1043.95
20,-1018.7,-260.0,-2745.0,99.0,0,0,0,0,1038.5879669189453,-1018.7
21,-959.3,-260.0,-2745.0,99.0,0,0,0,0,1087.4119873046875,-959.3
