iteration,episode_reward,episode_length
0,-510.0,99
1,-100.0,99
2,-190.0,99
3,-990.0,99
4,-285.0,99
5,-135.0,99
6,-625.0,99
7,-540.0,99
8,-205.0,99
9,-335.0,99
10,-600.0,99
11,-370.0,99
12,-810.0,99
13,-760.0,99
14,-705.0,99
15,-560.0,99
16,-450.0,99
17,-420.0,99
18,-270.0,99
19,-735.0,99
20,-135.0,99
21,-350.0,99
22,-380.0,99
23,-280.0,99
24,-1195.0,99
25,-1440.0,99
26,-370.0,99
27,-200.0,99
28,-335.0,99
29,-410.0,99
30,-885.0,99
31,-155.0,99
32,-865.0,99
33,-1065.0,99
34,-380.0,99
35,-730.0,99
36,-360.0,99
37,-345.0,99
38,-900.0,99
39,-475.0,99
40,-550.0,99
41,-590.0,99
42,-635.0,99
43,-195.0,99
44,-545.0,99
45,-560.0,99
46,-280.0,99
47,-645.0,99
48,-1130.0,99
49,-500.0,99
50,-130.0,99
51,-355.0,99
52,-630.0,99
53,-460.0,99
54,-980.0,99
55,-285.0,99
56,-830.0,99
57,-895.0,99
58,-625.0,99
59,-395.0,99
60,-445.0,99
61,-680.0,99
62,-180.0,99
63,-485.0,99
64,-530.0,99
65,-430.0,99
66,-190.0,99
67,-920.0,99
68,-1360.0,99
69,-475.0,99
70,-730.0,99
71,-390.0,99
72,-170.0,99
73,-425.0,99
74,-905.0,99
75,-215.0,99
76,-475.0,99
77,-455.0,99
78,-305.0,99
79,-320.0,99
80,-575.0,99
81,-670.0,99
82,-615.0,99
83,-265.0,99
84,-350.0,99
85,-265.0,99
86,-760.0,99
87,-480.0,99
88,-140.0,99
89,-185.0,99
90,-1050.0,99
91,-940.0,99
92,-835.0,99
93,-930.0,99
94,-440.0,99
