iteration,episode_reward,episode_length
0,-650.0,99
1,-430.0,99
2,-410.0,99
3,-700.0,99
4,-240.0,99
5,-600.0,99
6,-450.0,99
7,-320.0,99
8,-590.0,99
9,-235.0,99
10,-285.0,99
11,-525.0,99
12,-405.0,99
13,-810.0,99
14,-240.0,99
15,-240.0,99
16,-160.0,99
17,-250.0,99
18,-590.0,99
19,-520.0,99
20,-760.0,99
21,-690.0,99
22,-735.0,99
23,-865.0,99
24,-215.0,99
25,-135.0,99
26,-1210.0,99
27,-720.0,99
28,-900.0,99
29,-900.0,99
30,-40.0,99
31,-95.0,99
32,-395.0,99
33,-465.0,99
34,-1110.0,99
35,-505.0,99
36,-910.0,99
37,-465.0,99
38,-420.0,99
39,-485.0,99
40,-690.0,99
41,-460.0,99
42,-545.0,99
43,-1915.0,99
44,-145.0,99
45,-295.0,99
46,-125.0,99
47,-910.0,99
48,-700.0,99
49,-750.0,99
50,-525.0,99
51,-310.0,99
52,-285.0,99
53,-700.0,99
54,-295.0,99
55,-870.0,99
56,-785.0,99
57,-120.0,99
58,-665.0,99
59,-395.0,99
60,-1455.0,99
61,-195.0,99
62,-1610.0,99
63,-410.0,99
64,-1285.0,99
65,-1075.0,99
66,-1100.0,99
