iteration,episode_reward,episode_length
0,-3320.0,99
1,-3810.0,99
2,-2715.0,99
3,-2585.0,99
4,-1865.0,99
5,-1320.0,99
6,-1385.0,99
7,-2550.0,99
8,-2090.0,99
9,-1570.0,99
10,-4425.0,99
11,-3275.0,99
12,-1555.0,99
13,-2915.0,99
14,-2050.0,99
15,-1940.0,99
16,-1900.0,99
17,-1315.0,99
18,-1435.0,99
19,-2125.0,99
20,-1390.0,99
21,-3160.0,99
22,-2930.0,99
23,-2050.0,99
24,-2700.0,99
25,-2710.0,99
26,-2995.0,99
27,-2165.0,99
28,-2615.0,99
29,-3575.0,99
30,-2775.0,99
31,-2360.0,99
32,-2045.0,99
33,-1845.0,99
34,-1655.0,99
35,-1115.0,99
36,-2360.0,99
37,-1475.0,99
38,-2265.0,99
39,-1665.0,99
40,-3375.0,99
41,-1755.0,99
42,-1510.0,99
43,-2665.0,99
44,-1180.0,99
45,-2380.0,99
46,-2485.0,99
47,-1785.0,99
48,-2980.0,99
49,-1000.0,99
