iteration,episode_reward,episode_length
351,-140.0,99
352,-225.0,99
353,-200.0,99
354,-830.0,99
355,-745.0,99
356,-1135.0,99
357,-445.0,99
358,-215.0,99
359,-815.0,99
360,-1165.0,99
361,-650.0,99
362,-1070.0,99
363,-1125.0,99
364,-400.0,99
365,-710.0,99
366,-325.0,99
367,-520.0,99
368,-360.0,99
369,-360.0,99
370,-1010.0,99
371,-470.0,99
372,-700.0,99
373,-630.0,99
374,-725.0,99
375,-520.0,99
376,-545.0,99
377,-560.0,99
378,-610.0,99
379,-305.0,99
380,-805.0,99
381,-655.0,99
382,-100.0,99
383,-460.0,99
384,-115.0,99
385,-345.0,99
386,-795.0,99
387,-315.0,99
388,-435.0,99
389,-440.0,99
390,-415.0,99
391,-1175.0,99
392,-750.0,99
393,-1010.0,99
394,-240.0,99
395,-630.0,99
396,-255.0,99
397,-235.0,99
398,-210.0,99
399,-325.0,99
400,-560.0,99
401,-300.0,99
402,-465.0,99
403,-110.0,99
404,-490.0,99
405,-385.0,99
406,-385.0,99
407,-635.0,99
408,-190.0,99
409,-470.0,99
410,-1385.0,99
411,-95.0,99
412,-755.0,99
413,-205.0,99
414,-400.0,99
415,-900.0,99
416,-250.0,99
417,-460.0,99
418,-810.0,99
419,-575.0,99
420,-315.0,99
421,-1095.0,99
422,-1135.0,99
423,-220.0,99
424,-990.0,99
425,-365.0,99
426,-265.0,99
427,-410.0,99
428,-280.0,99
429,-530.0,99
430,-760.0,99
431,-570.0,99
432,-1235.0,99
433,-655.0,99
434,-735.0,99
435,-705.0,99
436,-500.0,99
437,-660.0,99
438,-160.0,99
439,-300.0,99
440,-995.0,99
441,-690.0,99
442,-305.0,99
443,-180.0,99
444,-420.0,99
445,-255.0,99
446,-410.0,99
447,-225.0,99
448,-495.0,99
449,-1570.0,99
450,-250.0,99
451,-720.0,99
452,-980.0,99
453,-980.0,99
454,-645.0,99
455,-105.0,99
456,-1105.0,99
457,-245.0,99
458,-700.0,99
459,-330.0,99
460,-300.0,99
461,-410.0,99
462,-365.0,99
463,-805.0,99
464,-310.0,99
465,-105.0,99
466,-585.0,99
467,-585.0,99
468,-650.0,99
469,-705.0,99
470,-345.0,99
471,-545.0,99
472,-175.0,99
473,-50.0,99
474,-150.0,99
475,-430.0,99
476,-235.0,99
477,-150.0,99
478,-665.0,99
479,-715.0,99
480,-505.0,99
481,-220.0,99
482,-360.0,99
483,-145.0,99
484,-115.0,99
485,-765.0,99
486,-1030.0,99
487,-480.0,99
488,-660.0,99
489,-300.0,99
490,-125.0,99
491,-860.0,99
492,-200.0,99
493,-575.0,99
494,-180.0,99
495,-110.0,99
496,-405.0,99
497,-70.0,99
498,-1035.0,99
499,-1470.0,99
