iteration,episode_reward,episode_length
0,-525.0,99
1,-140.0,99
2,-860.0,99
3,-770.0,99
4,-220.0,99
5,-525.0,99
6,-780.0,99
7,-580.0,99
8,-890.0,99
9,-475.0,99
10,-315.0,99
11,-770.0,99
12,-180.0,99
13,-370.0,99
14,-60.0,99
15,-435.0,99
16,-140.0,99
17,-500.0,99
18,-55.0,99
19,-680.0,99
20,-995.0,99
21,-95.0,99
22,-230.0,99
23,-290.0,99
24,-615.0,99
25,-625.0,99
26,-735.0,99
27,-925.0,99
28,-370.0,99
29,-120.0,99
30,-220.0,99
31,-470.0,99
32,-500.0,99
33,-415.0,99
34,-605.0,99
35,-750.0,99
36,-425.0,99
37,-25.0,99
38,-700.0,99
39,-885.0,99
40,-160.0,99
41,-360.0,99
42,-940.0,99
43,-120.0,99
44,-185.0,99
45,-450.0,99
46,-570.0,99
47,-50.0,99
48,-305.0,99
49,-1080.0,99
50,-225.0,99
51,-265.0,99
52,-455.0,99
53,-350.0,99
54,-85.0,99
55,-560.0,99
56,-265.0,99
57,-155.0,99
58,-995.0,99
59,-430.0,99
60,-575.0,99
61,-640.0,99
62,-275.0,99
63,-635.0,99
64,-500.0,99
65,-300.0,99
66,-405.0,99
67,-1255.0,99
68,-315.0,99
69,-195.0,99
70,-490.0,99
71,-800.0,99
72,-815.0,99
73,-225.0,99
74,-310.0,99
75,-300.0,99
76,-430.0,99
77,-890.0,99
78,-245.0,99
79,-1595.0,99
80,-870.0,99
81,-310.0,99
82,-335.0,99
83,-315.0,99
84,-905.0,99
85,-590.0,99
86,-550.0,99
87,-400.0,99
88,-250.0,99
89,-770.0,99
90,-715.0,99
91,-215.0,99
92,-895.0,99
93,-695.0,99
94,-385.0,99
95,-110.0,99
96,-230.0,99
97,-145.0,99
98,-1310.0,99
99,-585.0,99
100,-1955.0,99
101,-860.0,99
102,-330.0,99
103,-575.0,99
104,-765.0,99
105,-105.0,99
106,-580.0,99
107,-255.0,99
108,-775.0,99
109,-200.0,99
110,-500.0,99
